City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Ust-Omchug,RU,61.15,149.63,33.3,93,100,2.28,overcast clouds
84,Qaqortoq,GL,60.72,-46.03,26.6,79,100,2.24,overcast clouds
85,Inta,RU,66.03,60.17,14.47,90,0,7.02,clear sky
86,Ilongero,TZ,-4.67,34.87,59.7,76,54,7.87,broken clouds
87,George,ZA,-33.96,22.46,64.4,100,76,5.82,broken clouds
88,Tiksi,RU,71.69,128.87,23.54,94,36,16.62,scattered clouds
89,Alta,NO,69.97,23.27,39.2,85,100,21.92,overcast clouds
90,Sorong,ID,-0.88,131.25,83.41,79,3,6.58,clear sky
91,Coahuayana,MX,18.73,-103.68,78.8,83,75,11.41,broken clouds
92,Bambous Virieux,MU,-20.34,57.76,73.4,73,40,9.17,scattered clouds
93,Kawalu,ID,-7.38,108.21,79.74,75,44,2.26,scattered clouds
94,San Ignacio,BZ,17.16,-89.07,82.4,83,0,4.7,clear sky
95,Ribeira Grande,PT,38.52,-28.7,66.65,79,29,21.23,scattered clouds
96,Qaanaaq,GL,77.48,-69.36,18.43,92,94,7.49,overcast clouds
97,Gat,IL,31.61,34.76,69.8,83,0,3.36,clear sky
98,East London,ZA,-33.02,27.91,69.8,76,79,7.87,broken clouds
99,Balkanabat,TM,39.51,54.37,50.11,71,0,1.36,clear sky
100,Bethel,US,41.37,-73.41,61.0,97,95,4.03,overcast clouds
101,Bonthe,SL,7.53,-12.51,78.55,85,87,2.82,light rain
102,Poum,NC,-20.23,164.02,78.51,75,0,13.04,clear sky
103,Fortuna,US,40.6,-124.16,57.99,50,1,11.41,clear sky
104,Thompson,CA,55.74,-97.86,23.0,62,75,6.93,light snow
105,Port Hedland,AU,-20.32,118.57,84.2,54,0,11.41,clear sky
106,Lazaro Cardenas,MX,17.96,-102.2,81.14,83,100,5.28,overcast clouds
107,Katsuura,JP,35.13,140.3,68.0,55,75,12.75,broken clouds
108,Mar Del Plata,AR,-38.0,-57.56,59.0,100,75,5.82,broken clouds
109,Barrow,US,71.29,-156.79,28.4,92,90,8.05,fog
110,Cabo San Lucas,MX,22.89,-109.91,87.8,58,5,10.29,clear sky
111,Bose,IT,45.46,8.01,53.01,98,92,2.06,overcast clouds
112,Faanui,PF,-16.48,-151.75,79.12,71,100,7.58,overcast clouds
113,Hovd,MN,48.01,91.64,38.08,64,100,5.79,overcast clouds
114,Butaritari,KI,3.07,172.79,81.77,73,3,12.48,clear sky
115,Blythe,US,33.61,-114.6,87.8,31,1,12.75,clear sky
116,Wagar,SD,16.15,36.2,81.77,48,0,7.0,clear sky
117,Torbay,CA,47.67,-52.73,39.2,86,75,3.65,broken clouds
118,Nemuro,JP,43.32,145.57,57.2,71,20,10.29,few clouds
119,Mabaruma,GY,8.2,-59.78,77.68,86,100,3.91,overcast clouds
120,Upernavik,GL,72.79,-56.15,21.67,91,100,6.53,overcast clouds
121,Victor Harbor,AU,-35.57,138.62,57.0,76,70,5.01,broken clouds
122,Simpang,ID,-1.27,104.08,79.43,81,100,2.28,overcast clouds
123,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,76.69,86,0,9.84,clear sky
124,Sahuaripa,MX,29.05,-109.23,79.18,36,0,4.74,clear sky
125,Muthill,GB,56.33,-3.83,44.01,95,94,4.0,overcast clouds
126,Malacacheta,BR,-17.84,-42.08,65.07,95,100,4.07,overcast clouds
127,Teya,RU,60.38,92.63,23.04,96,34,3.49,scattered clouds
128,New Norfolk,AU,-42.78,147.06,62.01,57,99,5.99,overcast clouds
129,Pasighat,IN,28.07,95.33,70.83,88,100,1.7,overcast clouds
130,Samarai,PG,-10.62,150.67,83.21,75,70,7.81,broken clouds
131,Nalus,PH,6.01,124.59,82.4,74,75,2.24,broken clouds
132,Lavrentiya,RU,65.58,-171.0,34.79,84,100,0.83,overcast clouds
133,Salinopolis,BR,-0.61,-47.36,79.45,80,2,12.12,clear sky
134,Tasiilaq,GL,65.61,-37.64,33.8,59,100,11.41,overcast clouds
135,Shizunai,JP,42.33,142.37,49.64,70,99,24.11,overcast clouds
136,Lompoc,US,34.64,-120.46,64.4,72,1,9.17,clear sky
137,Sumbe,AO,-11.21,13.84,74.79,86,96,5.5,light rain
138,Preobrazheniye,RU,42.9,133.91,39.34,69,46,16.96,scattered clouds
139,Omboue,GA,-1.57,9.26,75.79,90,100,5.32,overcast clouds
140,Sioux Lookout,CA,50.1,-91.92,28.4,79,90,4.7,overcast clouds
141,Teluknaga,ID,-6.1,106.64,89.01,74,20,4.7,few clouds
142,Esperance,AU,-33.87,121.9,57.2,82,90,5.82,overcast clouds
143,Yining,CN,29.04,114.56,59.36,57,80,2.13,broken clouds
144,Carupano,VE,10.67,-63.26,79.66,81,0,7.25,clear sky
145,Cabinda,AO,-5.55,12.2,76.41,84,100,9.13,light rain
146,Tuktoyaktuk,CA,69.45,-133.04,24.8,92,90,6.93,light snow
147,Wanning,CN,18.8,110.4,71.4,73,100,17.69,overcast clouds
148,Nikolskoye,RU,59.7,30.79,37.4,81,75,8.95,broken clouds
149,Norrtalje,SE,59.76,18.7,37.99,27,0,3.13,clear sky
150,Castro,BR,-24.79,-50.01,61.83,96,100,8.28,overcast clouds
151,Victoria,HK,22.29,114.16,73.99,48,100,15.64,light rain
152,Vrontados,GR,38.41,26.13,57.2,93,0,7.76,clear sky
153,Dikson,RU,73.51,80.55,23.52,92,100,13.78,overcast clouds
154,Mount Gambier,AU,-37.83,140.77,57.2,47,75,21.92,broken clouds
155,Poya,NC,-21.35,165.15,83.88,55,0,3.38,clear sky
156,Hithadhoo,MV,-0.6,73.08,82.42,78,12,10.87,few clouds
157,Hauterive,FR,46.09,3.45,53.01,81,40,5.82,scattered clouds
158,Koscierzyna,PL,54.12,17.98,48.99,100,75,5.82,broken clouds
159,Akdepe,TM,42.06,59.38,50.0,61,0,6.93,clear sky
160,Tricase,IT,39.93,18.36,51.8,100,5,3.2,clear sky
161,Ingham,US,42.6,-84.38,46.4,87,90,12.75,overcast clouds
162,Saint-Gilles,FR,43.68,4.43,59.0,82,75,10.29,broken clouds
163,Grindavik,IS,63.84,-22.43,39.2,86,40,13.87,shower rain
164,Liwale,TZ,-9.77,37.93,70.03,89,21,2.82,few clouds
165,Tongzi,CN,28.78,105.09,64.15,74,100,2.64,overcast clouds
166,Nome,US,64.5,-165.41,33.8,86,90,11.41,light rain
167,Shimoda,JP,34.67,138.95,66.2,59,40,8.05,scattered clouds
168,Korla,CN,41.76,86.15,46.76,45,100,3.33,overcast clouds
169,Mahdasht,IR,35.73,50.81,51.8,53,0,2.24,clear sky
170,Hammerfest,NO,70.66,23.68,37.4,86,75,35.57,light rain
171,Karratha,AU,-20.74,116.85,78.94,39,0,10.78,clear sky
172,Saskylakh,RU,71.92,114.08,17.44,96,100,5.59,light snow
173,Avarua,CK,-21.21,-159.78,78.8,69,94,16.11,overcast clouds
174,Melfi,IT,41.0,15.65,55.99,100,40,4.7,scattered clouds
175,Nuristan,AF,35.3,70.83,22.21,90,2,2.98,clear sky
176,Gorontalo,ID,0.54,123.06,87.15,58,95,3.38,overcast clouds
177,Inzai,JP,35.8,140.18,68.0,77,75,8.05,shower rain
178,Morgan City,US,29.7,-91.21,73.4,100,40,3.36,scattered clouds
179,Rosetta,EG,31.4,30.42,71.6,73,40,6.93,scattered clouds
180,Illapel,CL,-31.63,-71.17,54.21,74,0,1.3,clear sky
181,Narsaq,GL,60.92,-46.05,26.6,79,97,2.24,overcast clouds
182,Yar-Sale,RU,66.83,70.83,21.24,96,100,8.7,overcast clouds
183,Surt,LY,31.21,16.59,67.01,64,0,1.48,clear sky
184,Kulu,TR,39.1,33.08,59.86,45,52,3.49,broken clouds
185,Chancay,PE,-11.57,-77.27,63.0,82,75,8.05,broken clouds
186,Sawtell,AU,-30.38,153.1,73.4,73,90,10.29,overcast clouds
187,Saint George,US,37.1,-113.58,73.4,17,1,2.17,clear sky
188,Sovetskiy,RU,61.36,63.58,21.0,94,0,4.7,clear sky
189,Calama,CL,-22.47,-68.93,60.8,21,0,6.93,clear sky
190,Mahajanga,MG,-15.72,46.32,75.2,57,20,6.93,few clouds
191,Sistranda,NO,63.73,8.83,35.6,74,0,12.75,clear sky
192,Vao,NC,-22.67,167.48,73.92,86,4,16.58,clear sky
193,Hamilton,US,39.18,-84.53,68.0,82,75,9.17,light rain
194,Talnakh,RU,69.49,88.4,-5.8,83,40,6.71,scattered clouds
195,Oranjemund,NA,-28.55,16.43,57.92,86,0,4.29,clear sky
196,Pisco,PE,-13.7,-76.22,62.6,82,0,17.22,clear sky
197,Tilichiki,RU,60.47,166.1,36.12,82,0,7.92,clear sky
198,Russell,US,32.35,-85.2,75.2,88,1,3.22,clear sky
199,Arlit,NE,18.74,7.39,79.29,16,0,12.12,clear sky
200,La Ronge,CA,55.1,-105.28,23.0,67,90,8.05,light shower snow
201,Araouane,ML,18.9,-3.53,86.86,12,0,3.13,clear sky
202,Cherskiy,RU,68.75,161.3,19.56,95,0,4.52,clear sky
203,Yerbogachen,RU,61.28,108.01,26.44,98,12,5.3,few clouds
204,Provideniya,RU,64.38,-173.3,34.3,88,100,11.92,overcast clouds
205,Chisindia,RO,46.28,22.1,51.8,87,0,4.7,clear sky
206,Puerto Ayora,EC,-0.74,-90.35,69.01,92,52,4.0,broken clouds
207,Huayang,CN,34.42,109.99,48.09,69,54,3.74,broken clouds
