City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
276,Progreso,MX,82.4,broken clouds,21.28,-89.67,Playa Linda Hotel
277,Maragogi,BR,76.37,clear sky,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
293,Lorengau,PG,85.73,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
295,Dingle,PH,75.87,overcast clouds,11.0,122.67,Camp Pasica
296,Acapulco,MX,84.2,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
298,General Roca,AR,77.0,light rain,-39.03,-67.58,Hotel El Recreo
302,Uribia,CO,84.16,overcast clouds,11.71,-72.27,Hotel Uribia
306,Hambantota,LK,75.2,few clouds,6.12,81.12,Bungalow 63
307,Buala,SB,87.03,broken clouds,-8.14,159.59,Maringe Lagoon Lodge
308,Malkapur,IN,75.43,overcast clouds,20.88,76.2,Hotel Sarthi International
311,Boa Vista,BR,78.8,light rain,2.82,-60.67,Aipana Plaza Hotel
312,Bandarbeyla,SO,76.32,overcast clouds,9.49,50.81,REER XOOSHLE GROUP
321,Luba,GQ,75.2,few clouds,3.46,8.55,
324,Marsh Harbour,BS,79.43,clear sky,26.54,-77.06,Abaco Beach Resort
325,Vieques,PR,82.4,few clouds,18.43,-65.83,Melia Coco Beach
330,Celestun,MX,81.18,scattered clouds,20.87,-90.4,Posada Lilia
332,Jurado,CO,78.1,moderate rain,7.11,-77.76,
333,Parnamirim,BR,77.0,broken clouds,-5.92,-35.26,Pousada Joaci
341,Flinders,AU,75.99,overcast clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
343,Catuday,PH,80.15,moderate rain,16.29,119.81,GResort
344,Amapa,BR,79.18,clear sky,1.0,-52.0,
351,La Romana,DO,80.6,scattered clouds,18.43,-68.97,Casa de Campo Resort and Villas
354,Nuevo Mexico,MX,75.2,scattered clouds,20.75,-103.43,One Guadalajara Periférico Norte
359,Kahului,US,87.8,scattered clouds,20.89,-156.47,Maui Seaside Hotel
360,Luanda,AO,77.0,broken clouds,-8.84,13.23,EPIC SANA Luanda
363,Bacungan,PH,78.8,broken clouds,9.91,118.7,Sumayang Property
366,Mazagao,BR,84.2,clear sky,-0.12,-51.29,Casa Lima Santos
373,Alenquer,BR,86.0,clear sky,-1.94,-54.74,Josilene Castro
375,Birao,CF,76.48,overcast clouds,10.28,22.79,
381,Camocim,BR,78.51,clear sky,-2.9,-40.84,Hotel Ilha do Amor
383,Pundaguitan,PH,82.67,overcast clouds,6.37,126.17,Leonardo Family Beach House 1
384,Waingapu,ID,85.86,few clouds,-9.66,120.26,Pondok Wisata Elim
385,Bengkulu,ID,77.77,heavy intensity rain,-3.8,102.27,Grage Hotel Bengkulu
387,Banjarmasin,ID,78.8,clear sky,-3.32,114.59,Swiss-Belhotel Borneo Banjarmasin
389,San Patricio,US,82.4,few clouds,28.02,-97.52,"Motel 6 Sinton, TX"
391,Takoradi,GH,76.87,light rain,4.88,-1.76,Raybow International Hotel
393,Balabac,PH,82.74,moderate rain,7.99,117.06,Sing and Swing Lodge
397,Namatanai,PG,86.32,few clouds,-3.67,152.43,Namatanai Hotel
400,Miramar,US,81.0,few clouds,25.99,-80.23,Stadium Hotel
402,Harper,LR,76.87,broken clouds,4.38,-7.72,Screensaver
405,Alibag,IN,82.4,mist,18.64,72.88,"Radisson Blu Resort & Spa - Alibaug, India"
415,Lagunas,PE,75.09,broken clouds,-5.23,-75.68,Hospedaje Eco
419,Aracati,BR,79.66,clear sky,-4.56,-37.77,Motel Pousada Milleniun - Aracati-CE
420,Urucui,BR,81.9,scattered clouds,-7.23,-44.56,Formula Flat Uruçui
423,Atar,MR,85.1,overcast clouds,20.52,-13.05,Oumou Elghoura
424,Bairiki,KI,86.0,scattered clouds,1.33,172.98,Tarawa Boutique Hotel
427,Kiama,AU,78.01,moderate rain,-34.68,150.87,The Sebel Kiama Harbourside
431,Port-Gentil,GA,78.3,overcast clouds,-0.72,8.78,Fengshui Residence
434,Vilhena,BR,76.33,overcast clouds,-12.74,-60.15,Hotel Mirage
435,Adrar,MR,86.36,broken clouds,20.5,-10.07,
436,Banda Aceh,ID,83.05,light rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
437,Domoni,KM,77.07,few clouds,-12.26,44.53,Loulou
438,Tessalit,ML,81.79,clear sky,20.2,1.01,
444,Galle,LK,79.03,light rain,6.04,80.22,Amangalla
448,Wiang Sa,TH,78.8,moderate rain,8.64,99.37,ชำนาญอินน์
451,Kieta,PG,83.77,moderate rain,-6.22,155.63,
457,Pombos,BR,78.8,scattered clouds,-8.14,-35.4,Pousada Pé de Serra
460,Terra Santa,BR,84.63,few clouds,-2.1,-56.49,Igreja da paz
464,Sinnamary,GF,80.37,overcast clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
466,Porto Novo,BJ,77.27,broken clouds,6.5,2.6,Tour Eiffel Hotel Benin
469,Umm Lajj,SA,83.3,clear sky,25.02,37.27,Moon light Furnished Units
470,Byron Bay,AU,75.2,broken clouds,-28.65,153.62,Backpackers Inn on the Beach
471,Tecoanapa,MX,81.77,overcast clouds,16.52,-98.75,Hotel Manglares
473,Labuhan,ID,83.88,clear sky,-6.88,112.21,bador sepret
