City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
168,Dehloran,IR,2020-10-23 16:50:43,32.69,47.27,76.39,16,0,3.33
169,Cabedelo,BR,2020-10-23 16:50:43,-6.98,-34.83,84.2,70,75,18.34
170,Manhattan,US,2020-10-23 16:50:39,40.78,-73.97,68.0,88,90,5.77
171,Port Elizabeth,ZA,2020-10-23 16:50:43,-33.92,25.57,68.0,82,0,18.34
172,Pitea,SE,2020-10-23 16:50:43,65.32,21.48,26.6,100,0,4.7
173,Leningradskiy,RU,2020-10-23 16:50:44,69.38,178.42,23.5,90,0,4.63
174,Saskylakh,RU,2020-10-23 16:50:44,71.92,114.08,20.52,97,100,8.57
175,Olinda,BR,2020-10-23 16:50:44,-8.01,-34.86,86.0,66,40,14.99
176,Wufeng,CN,2020-10-23 16:50:44,27.45,104.83,45.28,83,56,2.68
177,Kununurra,AU,2020-10-23 16:50:44,-15.77,128.73,84.2,66,84,3.36
178,Sabha,LY,2020-10-23 16:50:45,27.04,14.43,73.81,20,0,9.28
179,Oranjemund,NA,2020-10-23 16:50:45,-28.55,16.43,61.32,80,12,4.36
180,La Ronge,CA,2020-10-23 16:50:45,55.1,-105.28,21.2,85,90,9.17
181,Warrington,GB,2020-10-23 16:50:45,53.39,-2.58,51.8,71,20,10.29
182,Sobolevo,RU,2020-10-23 16:50:46,54.43,31.9,51.08,92,44,9.8
183,Mount Gambier,AU,2020-10-23 16:50:46,-37.83,140.77,50.0,81,90,13.87
184,Puerto Leguizamo,CO,2020-10-23 16:50:46,-0.19,-74.78,94.96,43,90,2.1
185,Lucapa,AO,2020-10-23 16:50:46,-8.42,20.74,70.79,85,88,2.46
186,Buala,SB,2020-10-23 16:50:46,-8.14,159.59,79.99,80,16,5.55
187,Avera,US,2020-10-23 16:50:46,33.19,-82.53,82.4,61,75,6.93
188,Luderitz,NA,2020-10-23 16:50:46,-26.65,15.16,62.65,75,6,6.24
189,Thana Bhawan,IN,2020-10-23 16:50:47,29.59,77.42,71.69,22,0,4.52
190,Labytnangi,RU,2020-10-23 16:50:47,66.66,66.42,18.23,94,93,5.88
191,Buta,CD,2020-10-23 16:50:47,2.79,24.73,72.48,88,94,1.5
192,Batticaloa,LK,2020-10-23 16:50:47,7.71,81.69,80.91,77,6,10.42
193,Nguruka,TZ,2020-10-23 16:50:47,-5.11,31.04,79.2,39,51,3.4
194,Cockburn Town,TC,2020-10-23 16:46:08,21.46,-71.14,82.69,79,41,18.01
195,Lorengau,PG,2020-10-23 16:50:47,-2.02,147.27,81.54,72,26,4.94
196,Teknaf,BD,2020-10-23 16:50:48,20.86,92.31,80.19,88,100,18.43
197,Ozark,US,2020-10-23 16:50:48,37.02,-93.21,44.6,100,90,17.22
198,Tigil,RU,2020-10-23 16:50:48,57.8,158.67,32.18,95,0,2.82
199,Tiznit,MA,2020-10-23 16:50:48,29.58,-9.5,66.99,58,100,7.7
200,Kovernino,RU,2020-10-23 16:50:48,57.13,43.81,46.63,94,89,7.58
201,Odienne,CI,2020-10-23 16:50:49,9.51,-7.57,86.31,56,55,4.99
202,Doha,QA,2020-10-23 16:50:49,25.29,51.53,84.2,62,0,5.82
203,Doka,SD,2020-10-23 16:50:49,13.52,35.77,85.64,36,26,3.67
204,Mandalgovi,MN,2020-10-23 16:50:49,45.76,106.27,36.86,63,85,5.44
205,Bengkulu,ID,2020-10-23 16:49:08,-3.8,102.27,78.03,83,100,3.96
206,Itaituba,BR,2020-10-23 16:50:16,-4.28,-55.98,100.27,31,100,3.76
207,Butte,US,2020-10-23 16:50:50,39.65,-121.57,66.0,32,1,3.36
208,Seoul,KR,2020-10-23 16:48:47,37.57,126.98,42.8,65,1,10.74
209,Esperance,AU,2020-10-23 16:50:50,-33.87,121.9,53.6,100,90,5.82
210,Fuchu,JP,2020-10-23 16:50:50,35.67,139.48,63.0,77,90,6.93
211,Gimli,CA,2020-10-23 16:50:50,50.63,-96.99,30.0,98,33,4.0
212,Noumea,NC,2020-10-23 16:50:51,-22.28,166.46,75.2,69,0,3.36
213,Saint Anthony,US,2020-10-23 16:50:51,45.02,-93.22,35.01,86,90,10.29
214,Tessalit,ML,2020-10-23 16:50:51,20.2,1.01,95.81,10,0,11.18
215,Rocha,UY,2020-10-23 16:50:51,-34.48,-54.33,69.17,83,99,4.47
216,Saint-Francois,FR,2020-10-23 16:50:51,46.42,3.91,55.4,87,0,3.36
217,Yerazgavors,AM,2020-10-23 16:50:51,40.7,43.75,51.8,43,0,3.36
218,Kimbe,PG,2020-10-23 16:50:51,-5.55,150.14,75.16,87,36,3.2
219,Conceicao Do Araguaia,BR,2020-10-23 16:50:52,-8.26,-49.26,99.48,34,85,3.06
220,Port Hawkesbury,CA,2020-10-23 16:50:52,45.62,-61.35,53.01,50,1,3.36
221,Gat,IL,2020-10-23 16:50:52,31.61,34.76,79.0,69,0,4.7
222,Merauke,ID,2020-10-23 16:47:31,-8.47,140.33,77.99,86,30,12.06
223,Namibe,AO,2020-10-23 16:50:52,-15.2,12.15,70.45,82,80,13.6
224,Beaufort,MY,2020-10-23 16:50:52,5.35,115.75,78.8,88,20,2.24
225,Barkhan,PK,2020-10-23 16:50:53,29.9,69.53,59.88,27,0,1.12
226,Belyy Yar,RU,2020-10-23 16:50:53,53.6,91.39,28.4,92,99,2.24
227,Bilibino,RU,2020-10-23 16:47:32,68.05,166.44,16.29,90,39,1.03
228,Alta Floresta,BR,2020-10-23 16:50:53,-9.88,-56.09,103.55,30,79,0.96
229,Provideniya,RU,2020-10-23 16:50:53,64.38,-173.3,33.64,91,100,14.61
230,Dargaville,NZ,2020-10-23 16:50:53,-35.93,173.88,56.71,94,84,4.43
231,Bambous Virieux,MU,2020-10-23 16:50:54,-20.34,57.76,75.2,69,40,11.41
232,Beroroha,MG,2020-10-23 16:50:54,-21.67,45.17,78.21,66,44,6.62
233,Fortuna,US,2020-10-23 16:50:54,40.6,-124.16,46.4,81,1,3.36
234,Semporna,MY,2020-10-23 16:50:54,4.48,118.61,77.0,100,20,2.24
235,Bitung,ID,2020-10-23 16:50:54,1.45,125.18,75.2,94,20,1.12
236,Arrecife,ES,2020-10-23 16:50:54,28.96,-13.55,73.4,60,20,16.11
237,Hualmay,PE,2020-10-23 16:50:54,-11.1,-77.61,68.25,68,62,9.51
238,Makakilo City,US,2020-10-23 16:50:55,21.35,-158.09,80.6,83,90,5.82
239,Zemio,CF,2020-10-23 16:50:55,5.03,25.14,72.88,92,92,2.71
240,Coahuayana,MX,2020-10-23 16:50:55,18.73,-103.68,78.8,78,75,2.04
241,Okha,RU,2020-10-23 16:50:55,53.57,142.95,46.69,92,100,31.41
242,Alofi,NU,2020-10-23 16:50:55,-19.06,-169.92,73.4,100,100,6.93
243,Ancud,CL,2020-10-23 16:50:55,-41.87,-73.82,57.99,71,75,12.75
244,Cayenne,GF,2020-10-23 16:48:34,4.93,-52.33,91.4,49,40,6.93
245,Ahipara,NZ,2020-10-23 16:50:55,-35.17,173.17,58.15,93,59,5.77
246,Salalah,OM,2020-10-23 16:50:56,17.02,54.09,82.4,42,0,3.36
247,Manokwari,ID,2020-10-23 16:50:56,-0.87,134.08,80.53,78,70,1.9
248,San Ignacio,BZ,2020-10-23 16:50:09,17.16,-89.07,88.0,88,75,4.7
249,Sao Filipe,CV,2020-10-23 16:50:56,14.9,-24.5,81.37,73,2,13.76
250,Mindelo,CV,2020-10-23 16:50:56,16.89,-24.98,87.8,58,40,26.4
251,Crossville,US,2020-10-23 16:47:26,35.95,-85.03,75.0,68,40,8.05
252,Old Bridge,US,2020-10-23 16:50:57,40.41,-74.37,69.01,88,90,5.66
253,Sabang,ID,2020-10-23 16:50:57,5.89,95.32,83.12,76,97,9.46
254,Liverpool,GB,2020-10-23 16:50:57,53.41,-2.98,51.8,71,20,10.29
255,Arraial Do Cabo,BR,2020-10-23 16:50:57,-22.97,-42.03,78.8,57,20,18.34
256,Palmer,US,2020-10-23 16:50:57,42.16,-72.33,68.0,100,90,4.7
257,Dunedin,NZ,2020-10-23 16:48:07,-45.87,170.5,50.0,88,54,1.01
258,Kemijarvi,FI,2020-10-23 16:50:57,66.71,27.43,25.97,96,100,8.39
259,Porto Novo,BJ,2020-10-23 16:50:58,6.5,2.6,81.75,77,96,8.03
260,Nagyoroszi,HU,2020-10-23 16:50:58,48.01,19.09,53.01,92,100,3.56
261,Antalaha,MG,2020-10-23 16:50:58,-14.9,50.28,72.3,79,47,8.63
262,Forestville,US,2020-10-23 16:50:58,38.85,-76.88,78.01,73,40,5.82
263,Riyadh,SA,2020-10-23 16:49:23,24.69,46.72,78.8,19,0,5.82
264,Xuddur,SO,2020-10-23 16:50:58,4.12,43.89,80.96,67,97,4.27
265,Zyuzelskiy,RU,2020-10-23 16:50:58,56.49,60.13,15.8,85,0,4.47
266,Pevek,RU,2020-10-23 16:50:59,69.7,170.31,26.91,95,5,13.56
267,Pathein,MM,2020-10-23 16:50:59,16.78,94.73,76.08,93,42,4.36
268,Half Moon Bay,US,2020-10-23 16:47:28,37.46,-122.43,63.0,72,1,5.82
269,Nemuro,JP,2020-10-23 16:50:59,43.32,145.57,57.13,83,73,15.35
270,Tecoanapa,MX,2020-10-23 16:50:59,16.52,-98.75,84.6,68,100,5.5
271,San Patricio,US,2020-10-23 16:50:59,28.02,-97.52,87.01,83,40,5.82
272,Lagoa,PT,2020-10-23 16:51:00,39.05,-27.98,65.68,78,33,19.1
273,Williams Lake,CA,2020-10-23 16:46:17,52.14,-122.14,24.8,92,90,4.7
274,Savannah Bight,HN,2020-10-23 16:51:00,16.45,-85.85,83.32,75,86,10.49
275,Sanlucar La Mayor,ES,2020-10-23 16:51:00,37.39,-6.2,72.0,59,52,1.01
276,Hambantota,LK,2020-10-23 16:51:00,6.12,81.12,80.01,79,8,16.93
277,Sistranda,NO,2020-10-23 16:51:00,63.73,8.83,35.6,93,20,4.7
278,Bogorodskoye,RU,2020-10-23 16:51:00,56.55,37.88,50.74,91,99,11.74
279,Laguna,US,2020-10-23 16:51:01,38.42,-121.42,62.01,26,1,3.36
280,Manaure,CO,2020-10-23 16:51:01,11.78,-72.44,89.74,61,57,18.19
281,Labuhan,ID,2020-10-23 16:51:01,-6.88,112.21,80.47,79,37,5.93
282,Pakxan,LA,2020-10-23 16:51:01,18.38,103.66,65.52,71,55,2.75
283,Rio Grande,BR,2020-10-23 16:47:19,-32.03,-52.1,78.01,76,100,1.01
284,Verkhnevilyuysk,RU,2020-10-23 16:51:02,63.45,120.32,36.36,86,99,10.47
285,Luanda,AO,2020-10-23 16:48:36,-8.84,13.23,82.4,69,40,16.11
286,Codrington,AU,2020-10-23 16:51:02,-38.27,141.97,51.44,84,100,14.03
287,Nyaunglebin,MM,2020-10-23 16:51:02,17.95,96.73,74.32,93,41,3.06
288,Pangody,RU,2020-10-23 16:51:02,65.85,74.49,19.69,97,97,8.72
289,Pedernales,DO,2020-10-23 16:51:02,18.04,-71.74,86.0,79,40,12.75
290,Xining,CN,2020-10-23 16:51:02,36.62,101.77,44.47,56,86,2.19
291,Ambunti,PG,2020-10-23 16:51:03,-4.24,142.84,73.04,99,94,1.28
292,Chino Valley,US,2020-10-23 16:51:03,34.76,-112.45,72.0,48,1,5.44
293,Aloleng,PH,2020-10-23 16:51:03,16.13,119.78,79.21,81,100,5.61
294,Kruisfontein,ZA,2020-10-23 16:51:03,-34.0,24.73,71.01,77,0,7.0
295,Dimona,IL,2020-10-23 16:51:03,31.07,35.03,68.22,61,0,5.23
296,Fairbanks,US,2020-10-23 16:48:54,64.84,-147.72,18.0,84,1,4.76
297,Bharatpur,IN,2020-10-23 16:51:04,27.22,77.48,78.03,20,0,3.62
298,Ust-Kut,RU,2020-10-23 16:51:04,56.79,105.77,33.64,92,99,2.24
299,Tsumeb,NA,2020-10-23 16:51:04,-19.23,17.72,87.08,13,3,12.35
300,Mehamn,NO,2020-10-23 16:51:04,71.04,27.85,35.6,93,90,25.28
301,Turukhansk,RU,2020-10-23 16:51:04,65.82,87.98,9.64,96,96,8.14
302,Corrales,US,2020-10-23 16:51:05,35.24,-106.61,64.99,25,1,4.7
303,Narsaq,GL,2020-10-23 16:51:05,60.92,-46.05,28.4,68,75,3.36
304,Kologriv,RU,2020-10-23 16:51:05,58.83,44.32,39.43,97,100,6.76
305,Altamont,US,2020-10-23 16:50:50,42.21,-121.74,39.99,47,1,3.36
306,Iquitos,PE,2020-10-23 16:46:21,-3.75,-73.25,84.2,74,40,3.36
